,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude
0,"малый николопесковский пер., 4",1998,29,1,7,5182.0,55.750494,37.592761
1,"ул. авангардная, 15",1967,111,1,14,5469.0,55.848993,37.488359
2,"ул. корнейчука, 36",1977,96,1,14,4089.0,55.897761,37.626367
3,"карамышевская, 26 корпус 1",1962,68,1,9,2471.7,55.769595,37.477777
4,"ул. мартеновская, 8 корпус 4",1959,60,3,5,2408.8,55.757551,37.803775
5,"ул. седова, 17 корпус 1",1968,144,4,9,6124.7,55.852177,37.635916
6,"ул. дыбенко, 10 корпус 1",2003,112,2,14,6851.3,55.869678,37.487263
7,"ул. 4-я тверская-ямская, 12 строение 2",1913,19,1,5,1343.0,55.773424,37.596758
8,"ул. дмитрия ульянова, 32",1957,63,4,5,4635.4,55.684559,37.581343
9,"ул. 1-я ямская, 3/7",1959,87,6,5,4758.0,55.794361,37.609344
10,"ул. 13-я парковая, 42",2004,220,4,14,12319.0,55.809616,37.812767
11,"ул. смоленская, 10",1960,332,10,9,17500.42,55.746289,37.576708
12,"ул. лобненская, 4",1971,128,4,9,5922.0,55.890482,37.539239
13,"ул. вавилова, 18",1960,60,3,5,2529.1,55.703936,37.582008
14,"ш. дмитровское, 107 корпус 3",2020,719,9,24,44531.8,55.880945,37.54118
15,"ул. 7-я парковая, 5 корпус 1",1974,75,1,14,4130.9,55.795266,37.792052
16,"п. внуковское, андрея тарковского б-р, 9",2018,705,13,12,38286.0,55.625211,37.345491
17,"ул. зарайская, 58 корпус 1",1951,12,2,2,563.8,55.727557,37.775326
18,"ул. кастанаевская, 62",1980,105,1,16,4994.3,55.732489,37.4599
19,"крапивенский пер., 4",1888,19,5,3,2060.4,55.766694,37.617689
20,"ул. планерная, 18 корпус 1",1970,287,6,12,13629.4,55.866682,37.440326
21,"ул. ангарская, 67 корпус 3",2007,364,7,14,17747.0,55.885524,37.524615
22,"ул. анатолия живова, 10",1929,49,6,5,3831.2,55.760125,37.55187
23,"ул. лукинская, 16",2006,320,5,17,20597.0,55.645812,37.339409
24,"ш. старокаширское, 4 корпус 11",1961,88,7,5,4952.7,55.660292,37.6319
25,"ул. туристская, 24 корпус 2",1969,288,8,9,13978.7,55.860489,37.424246
26,"ул. генерала белова, 17",2000,166,2,22,11103.0,55.620784,37.717941
27,"ул. кировоградская, 10 корпус 2",1969,283,8,9,12650.6,55.62607,37.608239
28,"фурманный пер., 20",1909,21,1,6,1138.3,55.765007,37.652175
29,"ул. 1-я мелитопольская, 8а",1962,32,2,4,1457.0,55.540073,37.580175
30,"ул. генерала белобородова, 37",2003,144,5,9,9670.0,55.830068,37.356351
31,"ул. островитянова, 25 корпус 1",1998,127,2,12,7006.0,55.636499,37.514598
32,"ул. байкальская, 39",1969,81,1,12,3525.4,55.817906,37.815292
33,"ул. веерная, 10",1966,120,6,5,5125.0,55.710519,37.48773
34,"ул. академика павлова, 21 корпус 2",1972,320,4,9,7197.4,55.747743,37.403863
35,"ул. академика янгеля, 1",2011,136,2,18,8055.0,55.594906,37.596956
36,"2-й раушский пер., 3",1870,22,2,4,1233.6,55.746755,37.634685
37,"старопетровский проезд, 12 корпус 4",2008,172,3,16,12069.0,55.825042,37.510565
38,"ул. васильцовский стан, 5 корпус 2",2005,256,4,17,16458.0,55.714151,37.749211
39,"ул. чертановская, 51 корпус 2",1971,144,4,9,7063.9,55.603003,37.592105
40,"ул. столетова, 8",2007,355,5,18,18802.0,55.705067,37.504879
41,"плетешковский пер., 18-20 корпус 2",1966,84,1,12,3636.6,55.769474,37.674633
42,"ул. воротынская, 12 корпус 1",2001,748,1,12,3734.0,55.890224,37.395284
43,"ул. черкизовская б., 32 корпус 2",1966,84,1,12,2280.9,55.799487,37.74454
44,"спартаковский пер., 26 строение 2",1914,63,3,6,3482.1,55.775454,37.680275
45,"ул. амундсена, 6 строение 2",1971,98,1,14,4178.0,55.851379,37.658482
46,"ул. волынская, 3",1998,431,5,22,26192.0,55.645141,37.4167
47,"ул. изумрудная, 22",1961,60,4,4,2435.0,55.871627,37.684335
48,"печатников пер., 10",1917,19,2,3,1180.7,55.767241,37.626232
49,"ул. петрозаводская, 28 корпус 1",2004,125,3,16,12867.5,55.868041,37.49109
50,"ул. 1-я владимирская, 11",1985,111,1,16,5514.9,55.759841,37.776673
51,"ул. красного маяка, 26 корпус 3",2009,2,2,1,438.0,55.606853,37.57828
52,"п. внуковское, ул. летчика грицевца, 4 корпус 1",2012,192,3,17,9332.9,55.622573,37.303162
53,"орлово-давыдовский пер., 2/5 корпус 1",1928,108,8,6,5446.0,55.783397,37.639042
54,"спиридоньевский пер., 8",1938,18,2,6,1563.0,55.762196,37.594683
55,"куркинское, 34",2003,15,1,5,1628.0,55.885615,37.401456
56,"ул. крылатские холмы, 35 корпус 3",1984,135,2,17,7342.0,55.759076,37.417284
57,"ул. верхняя хохловка, 17",1961,60,3,5,2472.0,55.733411,37.718193
58,"магистральный пер., 7 корпус 1",1958,20,2,5,1735.1,55.773378,37.525082
59,"новикова-прибоя, 6 корпус 2",1963,80,4,5,3614.6,55.782461,37.449111
60,"ш. ленинградское, 31",1973,160,2,17,9609.5,55.830569,37.485412
61,"очаковское, 2 корпус 3",1968,82,1,12,3783.4,55.698914,37.458598
62,"ул. 1-я новокузьминская, 15/5",1956,52,3,5,3575.0,55.715134,37.78942
63,"ул. 3-я филевская, 8 корпус 4",2007,152,1,20,7866.0,55.739184,37.500351
64,"ул. 1-я хуторская, 8 корпус 3",1960,94,2,5,2892.0,55.80317,37.572908
65,"пр-кт севастопольский, 28 корпус 3",2008,130,2,23,14669.2,55.663913,37.576178
66,"ул. дурова, 13/1",1938,24,2,7,1645.1,55.780411,37.620016
67,"ул. 1905 года, 9 строение 1",1961,64,1,9,2299.0,55.763857,37.560134
68,"ул. исаковского, 10 корпус 1",1979,141,4,9,6943.4,55.815094,37.406271
69,"ш. открытое, 2 корпус 10",1960,59,4,5,3207.9,55.805022,37.728595
70,"ул. менжинского, 28 корпус 1",1960,30,2,4,1296.0,55.869127,37.670142
71,"ул. лескова, 9б",1983,111,1,16,5283.0,55.899658,37.597513
72,"хвалынский б-р, 4 корпус 2",1992,223,4,14,14216.7,55.699228,37.850326
73,"пр-кт солнцевский, 7",1982,128,2,16,8160.0,55.64889,37.400297
74,"ул. братеевская, 16 корпус 6",1997,406,8,16,24632.4,55.631966,37.768175
75,"ул. старая басманная, 22 корпус а строение 3",1935,47,4,5,3035.9,55.767008,37.666872
76,"ул. профсоюзная, 136 корпус 2",1972,431,12,9,21465.9,55.628988,37.511158
77,"маршала рокоссовского б-р, 33/12",1967,128,4,9,5452.5,55.81652,37.714528
78,"петровско-разумовский проезд, 17а",1973,94,1,14,4101.0,55.798232,37.567446
79,"пр-кт нахимовский, 15 корпус 1",1962,60,3,5,2571.7,55.663918,37.602804
80,"ш. волоколамское, 43 строение 1",1974,112,1,17,5763.6,55.813936,37.469521
81,"ул. авиаторов, 5 корпус 3",2014,192,3,17,9854.5,55.639664,37.397907
82,"ул. ягодная, 8 корпус 1",2011,560,7,24,33622.9,55.576793,37.673403
83,"ш. можайское, 21 корпус 2",1960,53,3,4,2270.0,55.719262,37.427884
84,"ул. новаторов, 4 корпус 4",2011,395,5,22,21277.0,55.666858,37.518812
85,"ул. орджоникидзе, 9 корпус 1",1936,72,9,5,5459.0,55.709962,37.598483
86,"ул. дмитриевского, 11",2006,296,6,14,16497.8,55.709145,37.891397
87,"ул. нижегородская, 18",1961,60,3,5,2484.0,55.737345,37.684299
88,"ул. корнейчука, 51",1982,127,1,16,5810.0,55.892784,37.627481
89,"ул. 2-я институтская, 7",1958,24,2,4,1291.0,55.721082,37.779853
90,"ул. керченская, 22",1964,60,3,5,2563.6,55.651298,37.578675
91,"сиреневый б-р, 52",1967,143,4,9,7164.0,55.80275,37.821499
92,"ул. ботаническая, 19б",1975,112,1,14,4205.0,55.82841,37.599777
93,"ул. юных ленинцев, 67 корпус 1",1962,80,4,5,3540.0,55.700583,37.766181
94,"ш. коровинское, 3 корпус 2",2008,192,4,14,10656.5,55.865232,37.54082
95,"ул. маршала тимошенко, 38",1975,191,4,12,9658.0,55.748812,37.401465
96,"ул. малая филевская, 8 корпус 2",1960,60,3,5,2451.9,55.73959,37.476636
97,"ул. оренбургская, 24 корпус 1",1966,80,4,5,3551.5,55.711797,37.864429
98,"ул. дербеневская, 18",1900,54,5,5,3337.8,55.722274,37.64745
99,"пр-кт маршала жукова, 17 корпус 2",1960,49,4,5,2728.2,55.774902,37.492212
100,"ул. таганрогская, 11 корпус 3",1963,80,4,5,3362.9,55.678727,37.756245
101,"ул. академика капицы, 30 корпус 2",1986,263,4,17,14412.0,55.627753,37.520743
102,"пр-кт рязанский, 21",1967,60,3,5,2491.0,55.730573,37.744585
103,"банный пер., 8",1957,45,3,5,3092.2,55.785068,37.639626
104,"гончарный проезд, 6 строение 1а",1964,65,2,10,2755.0,55.738982,37.649094
105,"беговая аллея, 5 корпус 2",1983,58,1,12,3182.0,55.782066,37.564239
106,"ул. херсонская, 25",1965,84,1,12,3679.9,55.653065,37.561392
107,"ул. красных зорь, 37",1965,251,7,9,12535.0,55.725432,37.432654
108,"ул. малая ботаническая, 12",1958,36,3,4,1943.0,55.832429,37.587991
109,"ул. петрозаводская, 3 корпус 2",1986,55,1,14,3377.6,55.864505,37.499668
110,"вокзальный пер., 8 корпус 2",1975,98,1,14,4234.0,55.817234,37.514904
111,"ш. измайловское, 57",1957,144,4,11,10593.7,55.781205,37.739995
112,"окружной проезд, 34 корпус 4",1966,72,1,9,2585.0,55.768061,37.74437
113,"ул. теплый стан, 25 корпус 6",1981,168,3,12,9330.9,55.627875,37.47686
114,"ул. фестивальная, 24",1967,215,6,9,10615.9,55.860069,37.500567
115,"ул. островитянова, 43 корпус 1",1990,125,2,16,6393.0,55.632774,37.537973
116,"ул. ефремова, 21",1957,50,5,5,4425.0,55.721458,37.568084
117,"ул. маршала захарова, 8 корпус 3",1984,170,2,22,9714.8,55.624916,37.701736
118,"ул. веерная, 18а",1970,98,1,14,4259.0,55.708572,37.486364
119,"ул. верхняя хохловка, 39/47",1957,134,5,9,10716.0,55.733325,37.721714
120,"ул. палехская, 124 корпус 1",1958,36,3,4,1977.0,55.876385,37.711608
121,"ул. бронная м., 20 строение 2",1914,10,1,6,981.0,55.762439,37.596372
122,"ул. нижняя первомайская, 2",2007,52,1,14,3561.6,55.790752,37.791863
123,"ул. верхние поля, 16 корпус 1",2001,144,1,25,10291.0,55.66275,37.7471
124,"ул. профсоюзная, 68 корпус 2",2018,176,1,24,12742.8,55.664091,37.546264
125,"пр-кт андропова, 46 корпус 2",1963,158,5,8,7001.6,55.670371,37.659263
126,"ул. россошанская, 4 корпус 1",2009,384,6,17,21790.6,55.593176,37.611104
127,"ул. симоновский вал, 11/31",1962,144,1,9,5100.2,55.724728,37.664518
128,"ул. нагорная, 25 корпус 3",1965,60,3,5,2467.0,55.67559,37.600576
129,"ул. марии поливановой, 13",1962,60,3,5,2678.0,55.678057,37.454411
130,"чечерский проезд, 90",1997,64,2,8,4090.6,55.531346,37.52103
131,"ул. академика комарова, 14",1959,60,4,5,3318.0,55.830336,37.589195
132,"ул. 9-я соколиной горы, 17",1970,80,1,12,3491.0,55.77316,37.736006
133,"ул. менжинского, 9",1960,48,3,5,2024.9,55.867713,37.673879
134,"ул. кастанаевская, 45 корпус 2",2010,225,3,20,13620.0,55.731414,37.464329
135,"ш. загородное, 9 корпус 3",2000,123,1,24,8715.0,55.693794,37.608221
136,"ул. профсоюзная, 96",2006,173,4,17,21920.7,55.647468,37.527822
137,"волжский б-р, 21",1962,80,4,5,3500.0,55.705894,37.749876
138,"ул. старобитцевская, 23 корпус 4",1992,190,4,14,4674.0,55.577856,37.572001
139,"ул. академика зелинского, 6",1997,87,2,19,12025.2,55.70492,37.572306
140,"строгинский б-р, 12",1984,105,1,22,6143.6,55.804066,37.398078
141,"шебашевский проезд, 8 корпус 1",1952,60,4,5,3001.0,55.807081,37.532205
142,"пр-кт волгоградский, 99 корпус 2",1963,60,3,5,2577.4,55.708136,37.753281
143,"ул. лефортовский вал, 16а",1957,109,5,7,7607.0,55.759567,37.70125
144,"пр-кт нахимовский, 9 корпус 2",1976,112,1,14,5421.5,55.662999,37.608553
145,"подъемный пер., 1",1971,160,5,9,6913.0,55.737137,37.709901
146,"пр-кт мира, 99",1959,286,8,10,19937.0,55.810688,37.63676
147,"ул. старая басманная, 5 строение 1",1908,7,2,4,823.9,55.764511,37.656937
148,"ул. академика виноградова, 4 корпус 3",1975,96,1,14,4226.4,55.631925,37.486086
149,"ул. базовская, 15 корпус 2",2014,192,2,17,10472.0,55.877849,37.505876
150,"ореховый б-р, 35 корпус 1",1975,286,6,12,16366.7,55.614983,37.735449
151,"ферганский проезд, 15/189",1977,111,1,16,3270.0,55.693556,37.818301
152,"пр-кт пролетарский, 3",2002,431,5,22,26083.7,55.64665,37.657637
153,"генерала карбышева б-р, 4",1959,72,4,6,3057.6,55.777798,37.470644
154,"сиреневый б-р, 16 корпус 2",1959,80,4,5,3449.5,55.801809,37.786159
155,"ул. первомайская, 77",1963,51,3,5,2066.9,55.793728,37.800712
156,"ул. 8-я соколиной горы, 8 корпус 2",2007,508,8,22,34147.4,55.766846,37.735404
157,"пр-кт университетский, 21 корпус 1",1959,145,5,8,8401.0,55.714151,37.521066
158,"ул. народного ополчения, 48 корпус 2",1951,36,3,5,1086.0,55.79351,37.496632
159,"ул. подвойского, 24",1961,40,2,5,1608.0,55.764921,37.538458
160,"ул. байкальская, 18 корпус 3",2004,128,2,18,8888.1,55.815767,37.795565
161,"заревый проезд, 15",2017,72,1,9,3664.1,55.886579,37.65461
162,"ул. руставели, 9а корпус 1",1956,46,2,5,2655.0,55.813895,37.590515
163,"ул. большая черемушкинская, 15 корпус 2",1959,45,3,5,2346.0,55.684879,37.592725
164,"ул. краснодонская, 5 строение 1",1965,80,4,5,3398.4,55.68464,37.751879
165,"ул. ялтинская, 2",2003,388,6,17,21810.6,55.651364,37.610619
166,"большой сухаревский пер., 14",1968,84,1,12,3761.5,55.770385,37.628163
167,"ул. госпитальный вал, 5 строение 8",2007,179,3,14,9641.8,55.774887,37.707781
168,"ул. клязьминская, 11 корпус 1",2004,109,1,22,6765.0,55.88773,37.524094
169,"ул. клязьминская, 10 корпус 1",1967,287,8,9,14258.0,55.885736,37.523007
170,"ул. чечулина, 4",1975,286,8,9,13994.3,55.779023,37.822505
171,"пр-кт зеленый, 6 корпус 3",1986,92,2,12,4207.0,55.747556,37.774319
172,"ул. академика глушко, 12",1997,43,3,4,3481.4,55.565468,37.565389
173,"ул. шепелюгинская, 14",1956,16,1,4,986.0,55.745747,37.70249
174,"ул. марьинский парк, 7 корпус 1",2002,82,4,7,3411.7,55.656885,37.777176
175,"ул. народного ополчения, 21 корпус 1",1972,320,10,9,15023.5,55.77753,37.477282
176,"ул. коненкова, 6а",1974,283,8,9,13863.0,55.888957,37.609541
177,"ул. лазо, 4 корпус 1",1958,44,3,5,2994.5,55.744723,37.773457
178,"ш. ленинградское, 38 корпус 1",1958,33,3,4,1865.9,55.83114,37.489257
179,"ул. южнобутовская, 117",1996,228,5,12,13006.0,55.532197,37.519485
180,"ул. саранская, 4/24",1995,256,6,12,14190.0,55.691739,37.855509
181,"ул. липецкая, 15 корпус 1",1983,308,7,12,14914.9,55.581581,37.687228
182,"ш. варшавское, 62 корпус 2",1958,60,3,5,3277.0,55.661308,37.618039
183,"ул. маршала василевского, 5 корпус 2",1971,216,6,9,10577.4,55.803266,37.470734
184,"ул. фруктовая, 3 корпус а",1978,207,2,16,10544.8,55.659297,37.616548
185,"пр-кт волгоградский, 120 корпус 2",1960,80,4,5,3485.9,55.701932,37.780742
186,"ул. расковой, 23а",1930,83,6,7,6198.0,55.789932,37.575064
187,"ул. плющиха, 42",1970,311,14,9,16246.0,55.741019,37.576358
188,"ул. новочеремушкинская, 62 корпус 1",1980,139,4,14,14885.0,55.664842,37.560772
189,"ул. отрадная, 9",1982,190,4,12,10914.0,55.857771,37.611491
190,"ул. фонвизина, 12а",1960,60,4,5,3256.0,55.819585,37.587775
191,"ш. энтузиастов, 82/2 корпус 2",1961,68,1,9,2455.8,55.764769,37.789492
192,"скатертный пер., 15",1912,12,2,5,1931.6,55.75593,37.594153
193,"ул. антонова-овсеенко, 3",1960,30,2,5,1654.0,55.752911,37.539293
194,"ул. плещеева, 8",1981,463,10,12,20941.0,55.884898,37.608544
195,"воротниковский пер., 7 строение 3",1932,19,5,2,1191.0,55.769838,37.600145
196,"ул. поречная, 27 корпус 2",1999,120,5,9,7055.0,55.652481,37.771023
197,"ул. люблинская, 128",1991,128,2,17,7094.7,55.644958,37.743426
